step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
74,12,9.9462,8391.4766,26308.9742,0.0,0,0,0,699.2897,2192.4145
75,12,9.71,7429.46,23292.7974,0.0,0,0,0,619.1217,1941.0664
76,12,10.0088,10683.3831,33494.7828,0.0,0,0,0,890.2819,2791.2319
77,12,10.1635,8321.3695,26089.2769,0.0,0,0,0,693.4475,2174.1064
78,13,9.4742,9907.1601,31061.1059,0.0,1,1,0,762.0892,2389.3158
79,13,9.7141,10239.1498,32101.8709,0.0,0,0,0,787.6269,2469.3747
80,13,10.0811,13093.8465,41052.4843,0.0,0,0,0,1007.219,3157.8834
81,13,10.0587,7796.2939,24442.9788,0.0,0,0,0,599.7149,1880.2291
82,13,9.3253,6904.7807,21648.029,0.0,0,0,0,531.137,1665.233
83,13,8.5574,7423.1738,23273.2018,0.0,0,0,0,571.0134,1790.2463
84,14,7.5196,8858.0605,27771.53,0.0,1,1,0,632.7186,1983.6807
85,14,7.5909,10523.2987,32992.5776,0.0,0,0,0,751.6642,2356.6127
86,14,7.814,13927.4078,43665.218,1.0,1,0,0,994.8148,3118.9441
87,14,7.4791,6381.0555,20005.9033,2.0,1,0,0,455.7897,1428.9931
88,14,7.5986,8639.4468,27086.091,3.0,1,0,0,617.1033,1934.7208
89,14,7.8679,12141.3873,38065.7807,4.0,1,0,0,867.2419,2718.9843
90,15,7.2881,15767.2338,49433.7445,5.0,2,1,0,1051.1489,3295.583
91,15,7.7999,14490.2501,45429.9054,6.0,1,0,0,966.0167,3028.6604
92,15,8.5477,16450.8634,51577.2317,0.0,0,0,0,1096.7242,3438.4821
93,15,9.3076,19018.2322,59626.8282,0.0,0,0,0,1267.8821,3975.1219
94,15,9.8495,17251.5645,54087.744,0.0,0,0,0,1150.1043,3605.8496
95,15,10.0473,16860.1464,52860.6778,0.0,0,0,0,1124.0098,3524.0452
96,16,9.4449,12600.4855,39505.1393,0.0,1,1,0,787.5303,2469.0712
97,16,9.4202,14319.575,44895.0961,0.0,0,0,0,894.9734,2805.9435
98,16,9.6646,12544.7564,39330.312,0.0,0,0,0,784.0473,2458.1445
99,16,10.139,16057.2521,50343.4578,0.0,0,0,0,1003.5783,3146.4661
100,16,10.112,16471.5155,51642.0445,0.0,0,0,0,1029.4697,3227.6278
101,16,10.17,14373.8357,45065.4425,0.0,0,0,0,898.3647,2816.5902
102,17,9.8999,15721.6871,49291.1175,0.0,1,1,0,924.8051,2899.4775
