step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
74,25,9.425,23623.1068,74064.2475,0.0,0,0,0,944.9243,2962.5699
75,26,9.327,24274.8344,76107.3509,0.0,1,1,0,933.6475,2927.2058
76,26,9.2035,22036.8046,69090.3059,1.0,1,0,0,847.5694,2657.3195
77,26,9.0706,25599.078,80258.8047,2.0,1,0,0,984.5799,3086.8771
78,27,8.7661,26958.8807,84522.0346,4.0,3,1,0,998.4771,3130.4457
79,27,9.2317,27515.4756,86267.2019,2.0,1,0,0,1019.0917,3195.0816
80,27,9.6158,25140.0896,78819.925,0.0,0,0,0,931.1144,2919.2565
81,28,9.7804,29450.7554,92334.9696,0.0,1,1,0,1051.8127,3297.6775
82,28,9.8411,25195.0318,78991.9107,0.0,0,0,0,899.8226,2821.1397
83,27,9.8498,23791.8489,74592.7516,0.0,0,0,1,881.1796,2762.6945
84,28,9.1968,18165.4507,56952.3515,0.0,1,1,0,648.7661,2034.0126
85,28,9.4823,27950.1537,87629.9597,1.0,1,0,0,998.2198,3129.6414
86,28,9.8577,26378.5864,82702.8358,2.0,1,0,0,942.0924,2953.6727
87,29,10.013,30606.4365,95958.2669,3.0,2,1,0,1055.3944,3308.9058
88,29,10.5064,29340.7447,91990.1261,0.0,0,0,0,1011.7498,3172.0733
89,29,10.9437,31696.5392,99375.9874,0.0,0,0,0,1092.9841,3426.7582
90,30,10.7406,24927.4156,78152.6897,0.0,1,1,0,830.9139,2605.0897
91,29,10.4194,19121.0912,59948.8053,0.0,0,0,1,659.348,2067.2002
92,29,10.3083,19656.779,61628.5116,0.0,0,0,0,677.82,2125.1211
93,30,9.7851,21353.6244,66948.3596,0.0,1,1,0,711.7875,2231.612
94,30,9.9145,22882.9769,71742.7483,1.0,1,0,0,762.7659,2391.4249
95,30,10.2917,29548.1871,92640.1628,2.0,1,0,0,984.9396,3088.0054
96,31,10.1956,24921.6231,78134.7125,0.0,1,1,0,803.9233,2520.4746
97,31,10.5692,29386.3667,92133.3249,0.0,0,0,0,947.9473,2972.0427
98,31,10.9797,31742.6837,99520.5681,0.0,0,0,0,1023.9575,3210.3409
99,32,10.8732,31951.2324,100174.5782,0.0,1,1,0,998.476,3130.4556
100,32,10.8115,23336.3656,73164.6198,0.0,0,0,0,729.2614,2286.3944
101,32,10.5008,21408.102,67119.3097,0.0,0,0,0,669.0032,2097.4784
102,33,10.2586,30219.0988,94743.7026,0.0,1,1,0,915.7303,2871.0213
103,33,10.4773,28261.2883,88605.6418,0.0,0,0,0,856.4027,2685.0194
104,33,10.9949,39971.4614,125320.3587,0.0,0,0,0,1211.2564,3797.5866
105,34,10.8129,34045.0282,106739.4372,0.0,1,1,0,1001.3244,3139.3952
106,34,10.9151,34938.6191,109541.1576,0.0,0,0,0,1027.6064,3221.7988
107,34,10.8798,24315.7848,76235.4234,0.0,0,0,0,715.1701,2242.2183
108,35,10.5455,35887.5043,112515.9415,0.0,1,1,0,1025.3573,3214.7412
109,35,10.5353,27118.8676,85023.5958,0.0,0,0,0,774.8248,2429.2456
110,35,10.2998,24435.882,76611.7983,0.0,0,0,0,698.1681,2188.9085
111,36,10.1757,38898.7908,121956.8879,0.0,1,1,0,1080.522,3387.6913
112,36,10.3153,32188.0723,100917.098,0.0,0,0,0,894.1131,2803.2527
113,36,10.521,32961.5826,103342.0861,0.0,0,0,0,915.5995,2870.6135
114,37,10.1702,34948.2839,109570.7897,0.0,1,1,0,944.5482,2961.3727
115,37,9.9887,29931.0235,93840.3892,1.0,1,0,0,808.9466,2536.2267
116,37,10.4224,37090.658,116287.9803,2.0,1,0,0,1002.4502,3142.9184
117,38,10.2199,34420.4392,107915.5897,4.0,3,1,0,905.801,2839.8839
118,38,10.603,40333.9484,126456.5509,6.0,2,0,0,1061.4197,3327.804
119,38,10.4315,28347.4482,88875.5936,8.0,2,0,0,745.9855,2338.8314
120,39,10.6403,43351.7452,135917.5236,0.0,1,1,0,1111.5832,3485.0647
121,39,10.8449,33335.1936,104513.4776,0.0,0,0,0,854.7486,2679.8328
122,39,11.3235,44159.7554,138451.8858,0.0,0,0,0,1132.3014,3550.0484
123,40,11.0956,39765.7772,124675.1417,0.0,1,1,0,994.1444,3116.8785
124,40,11.5624,45764.0001,143481.2309,0.0,0,0,0,1144.1,3587.0308
125,40,11.821,38151.4336,119613.8044,0.0,0,0,0,953.7858,2990.3451
126,41,11.4911,36727.212,115148.2541,0.0,1,1,0,895.7857,2808.494
127,41,11.4375,32688.4302,102485.8705,0.0,0,0,0,797.2788,2499.6554
128,41,11.6053,38539.6505,120830.6824,0.0,0,0,0,939.9915,2947.0898
129,42,11.3746,38168.9399,119668.5566,0.0,1,1,0,908.7843,2849.2513
130,42,11.641,43373.5066,135986.3219,0.0,0,0,0,1032.7025,3237.7696
131,42,11.429,33155.9539,103951.8968,0.0,0,0,0,789.4275,2475.0452
132,43,10.9673,29320.1771,91925.0238,0.0,1,1,0,681.8646,2137.7913
133,42,10.9259,38394.746,120376.4285,1.0,1,0,1,914.1606,2866.1054
134,42,10.8869,38571.7968,120931.3053,2.0,1,0,0,918.3761,2879.3168
135,43,10.6829,37086.1294,116273.2408,4.0,3,1,0,862.4681,2704.0289
136,43,10.7173,39097.624,122580.2849,6.0,2,0,0,909.2471,2850.7043
137,43,10.5296,40952.3995,128395.4161,8.0,2,0,0,952.3814,2985.9399
138,44,10.4682,47818.952,149923.8503,6.0,2,1,0,1086.7944,3407.3602
139,44,10.6587,43097.5748,135120.9214,7.0,1,0,0,979.4903,3070.93
140,44,10.7699,46053.6937,144388.7859,8.0,1,0,0,1046.6749,3281.5633
141,45,10.3445,31940.9692,100141.4824,11.0,4,1,0,709.7993,2225.3663
142,45,10.3519,40945.9211,128374.8074,14.0,3,0,0,909.9094,2852.7735
143,45,10.4506,41237.3045,129287.831,17.0,3,0,0,916.3845,2873.0629
144,46,10.5339,46108.6068,144560.9131,9.0,4,1,0,1002.361,3142.6285
145,46,10.9513,46810.3922,146761.0334,10.0,2,0,0,1017.6172,3190.4572
146,46,11.0013,40988.1416,128507.1371,12.0,2,0,0,891.0466,2793.6334
147,47,10.9724,48410.6852,151778.7413,14.0,3,1,0,1030.0146,3229.3349
148,47,10.9047,40947.1918,128378.9014,16.0,2,0,0,871.2168,2731.466
149,47,10.7497,42148.7188,132146.1315,18.0,2,0,0,896.7813,2811.6198
150,48,10.3894,44024.7817,138027.6515,10.0,2,1,0,917.183,2875.5761
151,48,10.4448,40010.371,125441.3736,12.0,2,0,0,833.5494,2613.362
152,48,10.7924,49543.7699,155331.2316,14.0,2,0,0,1032.1619,3236.0673
153,49,10.6968,46997.62,147347.8189,17.0,4,1,0,959.1351,3007.0983
154,49,10.9066,43093.252,135106.9034,20.0,3,0,0,879.4541,2757.2837
155,49,11.0829,44027.1546,138034.985,23.0,3,0,0,898.5134,2817.0405
156,50,10.9075,40469.8809,126881.9971,26.0,4,1,0,809.3976,2537.6399
157,50,10.8667,45144.866,141539.5087,29.0,3,0,0,902.8973,2830.7902
158,50,10.9599,42963.9828,134702.0203,32.0,3,0,0,859.2797,2694.0404
159,51,10.4673,41306.8844,129506.0134,35.0,4,1,0,809.9389,2539.3336
160,51,10.3416,36082.1611,113125.3922,10.0,1,0,0,707.4934,2218.1449
161,51,10.5929,50135.86,157186.761,12.0,2,0,0,983.0561,3082.0934
162,52,10.6204,49747.4842,155969.7705,14.0,3,1,0,956.6824,2999.4187
163,52,10.7814,47300.891,148299.3037,16.0,2,0,0,909.6325,2851.9097
164,52,10.8864,52163.8781,163546.0026,14.0,1,0,0,1003.1515,3145.1154
165,53,10.8062,50366.0611,157909.2675,16.0,3,1,0,950.303,2979.4201
166,53,10.9897,48490.4764,152028.6738,18.0,2,0,0,914.9146,2868.4655
167,53,11.2931,57476.5235,180202.6451,3.0,1,0,0,1084.4627,3400.0499
168,54,11.5732,63459.2811,198960.1132,4.0,2,1,0,1175.1719,3684.4465
169,54,11.6271,48066.6571,150700.259,5.0,1,0,0,890.1233,2790.7455
170,54,11.7604,53284.6573,167060.3371,6.0,1,0,0,986.7529,3093.7099
171,55,11.3877,44171.6058,138487.5483,7.0,2,1,0,803.1201,2517.9554
172,55,11.4764,51817.1798,162458.8853,9.0,2,0,0,942.1305,2953.7979
173,55,11.3318,43664.9018,136899.0557,12.0,3,0,0,793.9073,2489.0737
174,55,10.9565,37215.3614,116678.4105,15.0,3,0,0,676.6429,2121.4256
175,55,11.0235,49729.6988,155913.6338,19.0,4,0,0,904.1763,2834.7933
176,55,11.3663,60683.8053,190257.9623,17.0,2,0,0,1103.3419,3459.2357
177,57,10.9809,50391.0047,157987.1324,0.0,2,2,0,884.0527,2771.7041
178,57,11.2035,52819.2664,165600.7538,0.0,0,0,0,926.6538,2905.2764
179,57,11.3763,53198.0997,166788.1999,0.0,0,0,0,933.3,2926.1088
180,58,11.2792,54701.9226,171503.284,0.0,1,1,0,943.1366,2956.9532
181,58,11.5079,60885.2283,190889.8647,1.0,1,0,0,1049.7453,3291.2046
182,58,11.6193,56248.8553,176353.9934,0.0,0,0,0,969.8079,3040.5861
183,59,11.4698,60058.0374,188296.235,0.0,1,1,0,1017.9328,3191.4616
184,59,11.5333,55495.9932,173993.2311,1.0,1,0,0,940.6101,2949.0378
185,59,11.3924,46413.1301,145515.8739,2.0,1,0,0,786.6632,2466.3707
186,60,11.2886,59688.4866,187137.6564,4.0,3,1,0,994.8081,3118.9609
187,60,11.4459,56245.9188,176344.2402,2.0,1,0,0,937.432,2939.0707
188,60,11.4111,50221.1781,157454.7457,3.0,1,0,0,837.0196,2624.2458
189,61,11.2169,55446.4963,173837.3636,6.0,4,1,0,908.959,2849.7928
190,61,11.2067,51367.7589,161049.0914,9.0,3,0,0,842.0944,2640.149
191,61,11.039,47085.8787,147624.5253,12.0,3,0,0,771.8997,2420.0742
192,62,10.9371,50041.6129,156891.1764,1.0,2,1,0,807.1228,2530.5028
193,62,10.8794,49118.4201,153997.0411,2.0,1,0,0,792.2326,2483.8232
194,62,10.8672,53800.7428,168677.4053,3.0,1,0,0,867.7539,2720.6033
195,62,10.5872,52873.2046,165769.3851,1.0,2,1,1,852.7936,2673.6998
196,62,10.8634,68337.9501,214255.5066,2.0,1,0,0,1102.225,3455.734
197,62,10.7425,52308.8138,164000.559,3.0,1,0,0,843.6905,2645.1703
198,63,10.8604,65219.1386,204477.557,4.0,2,1,0,1035.2244,3245.6755
199,63,10.9901,64985.3207,203744.2276,5.0,1,0,0,1031.513,3234.0354
200,63,11.0113,58334.222,182891.2104,8.0,3,0,0,925.94,2903.0351
201,64,11.0087,62429.2066,195730.0596,7.0,2,1,0,975.4564,3058.2822
202,64,11.2705,65121.8484,204172.2558,9.0,2,0,0,1017.5289,3190.1915
203,64,11.5416,62409.4422,195667.9624,9.0,1,0,0,975.1475,3057.3119
204,64,11.4402,61527.7883,192904.0195,11.0,3,1,1,961.3717,3014.1253
205,64,11.2509,47701.4893,149554.1494,13.0,2,0,0,745.3358,2336.7836
206,64,11.0159,48622.2472,152441.5136,15.0,2,0,0,759.7226,2381.8987
207,65,10.7113,59753.8485,187342.1109,18.0,4,1,0,919.29,2882.1863
208,64,10.5714,59141.9868,185423.9177,16.0,2,0,1,924.0935,2897.2487
209,64,10.6799,61986.7516,194342.4457,19.0,3,0,0,968.543,3036.6007
210,65,10.2673,48224.476,151194.4946,22.0,4,1,0,741.915,2326.0691
211,65,10.3181,53786.4,168631.8341,25.0,3,0,0,827.4831,2594.3359
212,65,10.4997,63821.4849,200094.7729,29.0,4,0,0,981.869,3078.3811
213,66,10.5108,69711.1932,218560.6314,29.0,5,1,0,1056.2302,3311.5247
214,66,10.5926,61195.0964,191860.5004,33.0,4,0,0,927.1984,2906.9773
215,66,11.0088,70291.571,220380.3311,37.0,4,0,0,1065.0238,3339.0959
216,67,10.9862,56238.2103,176318.9158,42.0,6,1,0,839.3763,2631.6256
217,67,11.1964,57154.1778,179190.6286,18.0,3,0,0,853.0474,2674.487
218,67,11.1116,54126.8111,169699.9404,9.0,2,0,0,807.8629,2532.8349
219,68,10.9993,56359.2759,176698.7737,4.0,2,1,0,828.8129,2598.5114
220,68,11.0172,53665.1393,168251.8315,0.0,0,0,0,789.1932,2474.2916
221,68,11.0594,56582.075,177397.5943,0.0,0,0,0,832.0893,2608.7882
222,69,10.9084,57268.3382,179549.242,0.0,1,1,0,829.9759,2602.1629
223,69,10.9259,57663.9513,180789.5572,2.0,2,0,0,835.7094,2620.1385
224,69,11.0145,59702.8039,187182.0779,4.0,2,0,0,865.258,2712.7837
225,70,10.8315,65661.0252,205862.5417,3.0,2,1,0,938.0146,2940.8935
226,70,10.6629,56221.6465,176267.4276,4.0,1,0,0,803.1664,2518.1061
227,70,10.9065,68082.5623,213454.9294,5.0,1,0,0,972.608,3049.3561
228,71,11.0909,69244.0292,217096.6413,6.0,2,1,0,975.268,3057.6992
229,71,11.4239,75761.0191,237529.529,7.0,1,0,0,1067.0566,3345.4863
230,71,11.471,60551.937,189844.6698,8.0,1,0,0,852.8442,2673.8686
231,70,11.4685,68023.6441,213270.4892,9.0,2,1,2,971.7663,3046.7213
232,70,11.4935,66136.1657,207352.9117,10.0,1,0,0,944.8024,2962.1845
233,70,11.5267,60978.5325,191182.4259,11.0,1,0,0,871.1219,2731.1775
234,71,11.467,66781.7071,209376.3679,12.0,2,1,0,940.5874,2948.9629
235,71,11.4292,62563.1678,196150.2028,14.0,2,0,0,881.1714,2762.6789
236,71,11.3738,58020.0671,181905.8276,14.0,1,0,0,817.184,2562.0539
237,72,11.2207,65180.6347,204355.6117,0.0,1,1,0,905.2866,2838.2724
238,72,11.4568,72519.3543,227365.2698,1.0,1,0,0,1007.2133,3157.851
239,72,11.4564,59389.0768,186198.402,3.0,2,0,0,824.8483,2586.0889
240,72,11.2512,66469.2101,208396.5098,6.0,4,1,1,923.1835,2894.396
241,72,11.2325,62384.6229,195590.2191,9.0,3,0,0,866.4531,2716.5308
242,72,11.2109,67793.291,212547.409,13.0,4,0,0,941.5735,2952.0473
243,73,10.9742,55829.1476,175036.3776,17.0,5,1,0,764.7828,2397.7586
244,73,10.9375,63910.7825,200374.6339,22.0,5,0,0,875.4902,2744.858
245,73,10.8811,59163.8524,185491.691,27.0,5,0,0,810.4637,2540.9821
246,74,10.7104,61373.6372,192419.5115,33.0,7,1,0,829.3735,2600.2637
247,74,10.6744,66324.3781,207941.6087,39.0,6,0,0,896.2754,2810.0217
248,74,10.6992,74231.9683,232733.5413,46.0,7,0,0,1003.1347,3145.0479
249,75,10.5862,66568.0941,208705.8801,16.0,4,1,0,887.5746,2782.7451
250,75,10.6181,55151.9637,172912.816,10.0,2,0,0,735.3595,2305.5042
251,75,11.0099,83649.4365,262260.6368,9.0,2,0,0,1115.3258,3496.8085
252,76,11.1362,74752.4094,234365.8195,11.0,3,1,0,983.5843,3083.7608
253,76,11.3679,76314.2553,239263.4883,3.0,1,0,0,1004.1349,3148.2038
254,76,11.4979,72873.6142,228476.6839,4.0,1,0,0,958.8633,3006.2722
255,77,11.4611,72234.5385,226472.5388,5.0,2,1,0,938.1109,2941.2018
256,77,11.5752,77016.6975,241465.6061,0.0,0,0,0,1000.2169,3135.917
257,77,11.3873,62598.0255,196259.1061,2.0,2,0,0,812.9614,2548.8196
258,78,11.3881,73392.0511,230101.2738,4.0,3,1,0,940.9237,2950.0163
259,78,11.513,77655.4225,243468.7499,6.0,2,0,0,995.5823,3121.3942
260,78,11.6535,79237.3899,248428.3509,8.0,2,0,0,1015.864,3184.9789
261,79,11.6272,72451.1302,227151.0808,10.0,3,1,0,917.1029,2875.3301
262,79,11.8071,77013.5013,241455.6298,13.0,3,0,0,974.8544,3056.4004
