step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
74,38,9.8397,27695.2487,86830.8349,0.0,1,1,0,728.8223,2285.022
75,38,10.0368,34268.2988,107438.8022,0.0,0,0,0,901.7973,2827.3369
76,39,10.1095,36085.1561,113134.8792,0.0,1,1,0,925.2604,2900.8943
77,39,10.7471,46518.287,145845.8462,0.0,0,0,0,1192.7766,3739.6371
78,40,10.8868,45790.2017,143563.1832,0.0,1,1,0,1144.755,3589.0796
79,40,11.0889,33728.4963,105746.675,0.0,0,0,0,843.2124,2643.6669
80,41,11.0117,37247.8644,116780.4956,0.0,1,1,0,908.4845,2848.3048
81,41,11.3143,38666.6064,121228.9481,0.0,0,0,0,943.088,2956.8036
82,42,11.2192,37116.9953,116370.3274,0.0,1,1,0,883.738,2770.7221
83,42,11.3619,32224.928,101032.5242,0.0,0,0,0,767.2602,2405.5363
84,43,11.0886,27455.3064,86078.0843,0.0,1,1,0,638.4955,2001.8159
85,43,11.3402,38201.1443,119769.1056,0.0,0,0,0,888.3987,2785.328
86,44,11.1282,34683.9786,108742.0851,0.0,1,1,0,788.2722,2471.411
87,44,11.2536,37728.7061,118288.3662,0.0,0,0,0,857.4706,2688.372
88,45,11.2472,39477.6449,123771.18,0.0,1,1,0,877.281,2750.4707
89,45,11.1598,33378.9452,104650.6934,0.0,0,0,0,741.7543,2325.571
90,46,11.0173,37935.3125,118935.3332,0.0,1,1,0,824.6807,2585.5507
91,46,11.0113,37835.723,118623.5974,0.0,0,0,0,822.5157,2578.7739
92,47,10.7353,29642.1922,92934.3377,0.0,1,1,0,630.6849,1977.3263
93,47,10.7311,35701.5629,111932.1363,0.0,0,0,0,759.6077,2381.5348
94,48,10.386,36000.199,112868.9962,0.0,1,1,0,750.0041,2351.4374
95,48,10.4486,44363.6222,139090.0517,0.0,0,0,0,924.2421,2897.7094
96,49,10.178,36164.0144,113382.1384,2.0,3,1,0,738.0411,2313.9212
97,49,10.0504,31067.0233,97401.6541,4.0,2,0,0,634.0209,1987.7889
98,50,10.0003,49401.0872,154883.6927,6.0,3,1,0,988.0217,3097.6739
99,50,10.0156,44415.0373,139251.2031,0.0,0,0,0,888.3007,2785.0241
100,51,10.1074,50532.8907,158431.5994,0.0,1,1,0,990.841,3106.5019
101,51,10.4326,47845.7837,150007.6794,0.0,0,0,0,938.1526,2941.327
102,52,10.3266,45785.9642,143549.0974,1.0,2,1,0,880.4993,2760.5596
103,52,10.4205,40700.4179,127604.2613,3.0,2,0,0,782.7003,2453.9281
104,53,10.2753,45124.9777,141476.8209,2.0,2,1,0,851.4147,2669.374
105,53,10.5439,51393.8703,161131.4298,3.0,1,0,0,969.6957,3040.2157
106,54,10.5766,50301.773,157707.3079,4.0,2,1,0,931.5143,2920.5057
107,54,10.7732,44582.9309,139777.8033,5.0,1,0,0,825.6098,2588.4778
108,55,10.7665,45227.7174,141798.8131,6.0,2,1,0,822.3221,2578.1602
109,55,10.8831,50935.2239,159693.5575,7.0,1,0,0,926.095,2903.5192
110,56,10.7782,45349.0361,142179.4839,8.0,2,1,0,809.8042,2538.9194
111,56,10.7924,48050.7152,150649.8249,0.0,0,0,0,858.0485,2690.1754
112,57,10.7017,56404.9272,176842.6931,0.0,1,1,0,989.5601,3102.5034
113,57,10.5649,49557.0456,155372.716,0.0,0,0,0,869.4219,2725.8371
114,58,10.5331,55736.6074,174747.1285,0.0,1,1,0,960.976,3012.8815
115,58,10.871,56951.282,178555.3635,1.0,1,0,0,981.9187,3078.5407
116,59,10.7613,54038.1764,169421.9551,2.0,2,1,0,915.9013,2871.5586
117,59,10.6788,44539.2673,139640.768,3.0,1,0,0,754.9028,2366.7927
118,60,10.7661,59363.9895,186119.6926,4.0,2,1,0,989.3998,3101.9949
119,60,10.9101,51041.6737,160027.2723,5.0,1,0,0,850.6946,2667.1212
120,61,10.8054,52235.3212,163769.5991,7.0,3,1,0,856.3167,2684.7475
121,61,10.7629,49330.1611,154660.7304,7.0,1,0,0,808.6912,2535.4218
122,62,10.6127,55847.1935,175093.5365,8.0,2,1,0,900.7612,2824.0893
123,62,10.6663,52560.9354,164790.5376,1.0,1,0,0,847.757,2657.9119
124,63,10.4076,48768.5438,152899.6392,3.0,3,1,0,774.1039,2426.9784
125,63,10.3608,55075.7423,172674.7165,5.0,2,0,0,874.2181,2740.8685
126,64,10.2866,50143.2811,157209.8107,7.0,3,1,0,783.4888,2456.4033
127,64,10.29,50860.6746,159459.0652,10.0,3,0,0,794.698,2491.5479
128,65,10.3081,54577.7304,171112.9539,8.0,3,1,0,839.6574,2632.507
129,65,10.6866,66160.203,207427.5074,10.0,2,0,0,1017.8493,3191.1924
130,66,10.6551,67652.2848,212105.6314,8.0,2,1,0,1025.0346,3213.7217
131,66,10.7856,57391.2605,179935.329,0.0,0,0,0,869.5646,2726.2929
132,67,10.7169,60015.284,188161.8112,0.0,1,1,0,895.7505,2808.3852
133,67,10.9137,62985.9971,197475.5481,0.0,0,0,0,940.0895,2947.3962
134,68,10.8168,57355.0918,179820.9017,1.0,2,1,0,843.4572,2644.425
135,68,11.0027,66919.3878,209807.9722,3.0,2,0,0,984.1086,3085.4114
136,69,10.8167,58423.8979,183172.4986,5.0,3,1,0,846.7232,2654.6739
137,69,10.7485,53797.2223,168666.5612,7.0,2,0,0,779.6699,2444.4429
138,70,10.5518,61448.3088,192654.6543,9.0,3,1,0,877.833,2752.2093
139,70,10.7023,59936.2178,187913.3991,11.0,2,0,0,856.2317,2684.4771
140,71,10.7055,69088.3419,216607.9878,15.0,5,1,0,973.0752,3050.8167
141,71,10.4932,52054.3472,163201.4776,19.0,4,0,0,733.1598,2298.6124
142,72,10.0734,50118.9206,157133.1581,23.0,5,1,0,696.0961,2182.405
143,72,10.0551,58657.7581,183904.5968,27.0,4,0,0,814.6911,2554.2305
144,73,10.1019,61957.0882,194248.5005,31.0,5,1,0,848.7272,2660.9384
145,73,10.2922,67028.806,210150.1353,35.0,4,0,0,918.2028,2878.769
146,73,10.1759,61604.0842,193141.6604,40.0,6,1,1,843.8916,2645.7762
147,73,9.9905,50576.5304,158568.2333,32.0,5,0,0,692.8292,2172.1676
148,74,9.8629,65892.9706,206588.5477,28.0,5,1,0,890.4455,2791.7371
149,74,9.9515,65150.9811,204263.1779,32.0,4,0,0,880.4187,2760.3132
150,75,10.1281,74349.94,233103.3583,37.0,6,1,0,991.3325,3108.0448
151,75,10.3573,79840.4995,250318.6352,34.0,3,0,0,1064.54,3337.5818
152,76,10.5188,75618.4228,237081.1238,0.0,1,1,0,994.9792,3119.4885
153,76,10.7711,69665.7212,218418.223,0.0,0,0,0,916.6542,2873.924
154,76,10.7552,72015.0406,225784.0512,0.0,1,1,1,947.5663,2970.8428
155,76,10.7904,73404.4498,230140.4205,0.0,0,0,0,965.848,3028.1634
156,77,10.6696,67727.5842,212341.113,1.0,2,1,0,879.579,2757.6768
157,77,10.7714,73310.6679,229845.4351,1.0,1,0,0,952.0866,2985.0057
158,77,10.7648,73617.9828,230809.462,2.0,2,1,1,956.0777,2997.5255
159,77,10.6388,58142.2083,182288.6895,4.0,2,0,0,755.0936,2367.3856
160,78,10.5391,70999.7375,222600.3664,6.0,3,1,0,910.253,2853.8509
161,78,10.5791,66846.6354,209579.0101,9.0,3,0,0,857.0081,2686.9104
162,79,10.714,79565.3022,249455.3006,12.0,4,1,0,1007.1557,3157.662
163,79,10.8305,65922.5087,206681.4533,15.0,3,0,0,834.4621,2616.2209
164,80,10.7148,64948.1907,203626.695,19.0,5,1,0,811.8524,2545.3337
165,80,10.6064,67116.7251,210425.6798,21.0,3,0,0,838.9591,2630.321
166,80,10.5353,72650.2561,227775.028,24.0,4,1,1,908.1282,2847.1879
167,80,10.6403,70663.5641,221545.6742,27.0,3,0,0,883.2946,2769.3209
168,81,10.5439,71416.9284,223907.9137,30.0,4,1,0,881.6905,2764.2952
169,81,10.6273,71097.9308,222907.635,33.0,3,0,0,877.7522,2751.9461
170,82,10.5991,67670.655,212161.6796,26.0,3,1,0,825.2519,2587.3376
171,82,10.5695,68618.4973,215134.0302,29.0,3,0,0,836.8109,2623.5857
172,83,10.5311,79518.4301,249308.2096,34.0,6,1,0,958.0534,3003.7134
173,83,10.4344,61638.3418,193249.5574,23.0,5,0,0,742.6306,2328.3079
174,83,10.3939,77714.7777,243652.8792,9.0,4,1,1,936.3226,2935.5769
175,83,10.3791,60506.196,189700.1802,5.0,1,0,0,728.9903,2285.5443
176,83,10.2509,78067.6605,244759.7567,6.0,2,1,1,940.5742,2948.9127
177,83,10.4527,79190.8056,248281.09,7.0,1,0,0,954.1061,2991.3384
178,84,10.542,78606.6737,246450.2963,8.0,2,1,0,935.7937,2933.9321
179,84,10.4895,72457.7115,227171.1972,10.0,2,0,0,862.5918,2704.419
180,85,10.4548,77806.0715,243939.1294,13.0,4,1,0,915.3655,2869.8721
181,85,10.7033,75047.9323,235291.6642,16.0,3,0,0,882.9169,2768.1372
182,86,10.6278,65744.9004,206124.1522,17.0,4,1,0,764.4756,2396.7925
183,86,10.7489,84457.716,264794.3831,18.0,2,0,0,982.0665,3079.0045
184,87,10.6947,65776.0931,206222.4126,20.0,3,1,0,756.047,2370.3726
185,87,10.7345,70962.5149,222483.1534,22.0,2,0,0,815.6611,2557.2776
186,88,10.6877,82375.2299,258265.1934,24.0,3,1,0,936.0822,2934.8317
187,88,10.9074,83908.9558,263073.9787,0.0,0,0,0,953.5109,2989.477
188,88,10.8001,75643.4356,237159.1654,0.0,1,1,1,859.5845,2694.9905
189,88,10.9303,82226.6359,257800.1746,0.0,0,0,0,934.3936,2929.5474
